id,manufacturer,model,product_ids
1465,Axiohm,7156,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1466,Axiohm,7193,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1467,Axiohm,7196,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1468,Axiohm,A715,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1469,Axiohm,A716,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1470,Axiohm,A756,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1471,Axiohm,A758,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1472,Axiohm,A760,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1473,Axiohm,A793,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1474,Axiohm,A794,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1475,Axiohm,A795,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1476,AZT,381PD,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1477,AZT,804R Thermal Printers,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1478,Beiyang,BTP-2002-NP,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1479,Citizen,CBM1000,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1480,Citizen,CBM230,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1481,Citizen,CBM231,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1482,Citizen,CBM293,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1483,Citizen,CTS300,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1484,Citizen,CTS310,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1485,Citizen,IDP-3210,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1486,Citizen,IDP-3310,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1487,Citizen,LT380,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1488,Clover,Station,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1489,Cognitive TPG,A756,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1490,Cognitive TPG,A758,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1491,Cognitive TPG,A760,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1492,Cognitive TPG,A776,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1493,Cognitive TPG,A793,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1494,Cognitive TPG,A794,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1495,Cognitive TPG,A795,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1496,Cognitive TPG,A798,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1497,Cognitive TPG,A799,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1498,Cognitive TPG,B780,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1499,DH Print,1500,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1500,Digital,Check TS240/TTP,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1501,Epson,M129B,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1502,Epson,M129C,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1503,Epson,T90 Series,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1504,Epson,TM-H5000,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1505,Epson,TM-H5000 II,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1506,Epson,TM-H6000,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1507,Epson,TM-H6000IV,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1508,Epson,TM-T70,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1509,Epson,TM-T70II,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1510,Epson,TM-T80,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1511,Epson,TM-T85,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1512,Epson,TM-T88,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1513,Epson,TM-T88II,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1514,Epson,TM-T88III,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1515,Epson,TM-T88IV,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1516,Epson,TM-T88V,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1517,Epson,TM-T88VI,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
